crs_number,community_nm,entry_dt,effective_dt,current_class,sfha_disc,nonsfha_disc,status,report_dt,state,state_code
010146,"Athens, City of",1991-10-01,1998-10-01,10,0,0,R,2012-10-01,NA,NA
010071,"Atmore, City of",2002-05-01,2002-05-01,8,10,5,C,2012-10-01,NA,NA
015000,Baldwin County,1995-10-01,2012-05-01,6,20,10,C,2012-10-01,NA,NA
010116,"Birmingham, City of",1994-10-01,2012-05-01,6,20,10,C,2012-10-01,NA,NA
010418,"Dauphin Island, Town of",2001-04-01,2001-04-01,8,10,5,C,2012-10-01,NA,NA
010176,"Decatur, City of",1991-10-01,2005-10-01,10,0,0,R,2012-10-01,NA,NA
015005,"Gulf Shores, Town of",1993-10-01,1993-10-01,9,5,5,C,2012-10-01,NA,NA
015006,"Homewood, City of",2001-10-01,2001-10-01,9,5,5,C,2012-10-01,NA,NA
010123,"Hoover, City of",1991-10-01,1991-10-01,9,5,5,C,2012-10-01,NA,NA
010153,"Huntsville, City of",1991-10-01,2012-10-01,8,10,5,C,2012-10-01,NA,NA
015007,"Mobile, City of",1992-10-01,1993-10-01,10,0,0,R,2012-10-01,NA,NA
015011,"Orange Beach, City of",1991-10-01,2007-10-01,7,15,5,C,2012-10-01,NA,NA
010189,"Pell City, City of",1992-10-01,2012-05-01,8,10,5,C,2012-10-01,NA,NA
010002,"Prattville, City of",1991-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
010070,"Wetumpka, City of",1991-10-01,1991-10-01,9,5,5,C,2012-10-01,NA,NA
020005,"Anchorage, Municipality of",1995-10-01,2009-10-01,6,20,10,C,2012-10-01,NA,NA
020012,"Kenai Peninsula, Borough of",2000-04-01,2000-04-01,8,10,5,C,2012-10-01,NA,NA
020003,Ketchikan Gateway Borough,2005-10-01,2005-10-01,9,5,5,C,2012-10-01,NA,NA
020069,"Nome, City of",2005-10-01,2007-10-01,8,10,5,C,2012-10-01,NA,NA
020113,"Seward, City of",2005-10-01,2010-10-01,7,15,5,C,2012-10-01,NA,NA
020094,"Valdez, City of",1992-10-01,2009-10-01,8,10,5,C,2012-10-01,NA,NA
040013,"Benson, Town of",1991-10-01,1992-10-01,10,0,0,R,2012-10-01,NA,NA
040014,"Bisbee, City of",1991-10-01,1992-10-01,10,0,0,R,2012-10-01,NA,NA
040131,"Camp Verde, Town of",1991-10-01,2011-05-01,7,15,5,C,2012-10-01,NA,NA
040080,"Casa Grande, City of",1991-10-01,2012-10-01,8,10,5,C,2012-10-01,NA,NA
040040,"Chandler, City of",1991-10-01,2004-05-01,7,15,5,C,2012-10-01,NA,NA
040094,"Chino Valley, Town of",1991-10-01,2011-10-01,10,0,0,R,2012-10-01,NA,NA
040095,"Clarkdale, Town of",1991-10-01,2011-05-01,7,15,5,C,2012-10-01,NA,NA
040012,Cochise County,1991-10-01,1991-10-01,9,5,5,C,2012-10-01,NA,NA
040019,Coconino County,1991-10-01,1999-10-01,8,10,5,C,2012-10-01,NA,NA
040061,"Dewey-Humboldt, Town of",2007-10-01,2011-05-01,7,15,5,C,2012-10-01,NA,NA
040020,"Flagstaff, City of",1991-10-01,2007-10-01,7,15,5,C,2012-10-01,NA,NA
040028,Gila County,1991-10-01,1992-10-01,10,0,0,R,2012-10-01,NA,NA
040044,"Gilbert, Town of",1991-10-01,1992-10-01,8,10,5,C,2012-10-01,NA,NA
040045,"Glendale, City of",1991-10-01,2010-05-01,7,15,5,C,2012-10-01,NA,NA
040067,"Holbrook, City of",1995-10-01,2000-10-01,8,10,5,C,2012-10-01,NA,NA
040118,"Marana, Town of",2012-10-01,2012-10-01,8,10,5,C,2012-10-01,NA,NA
040037,Maricopa County,1991-10-01,2012-05-01,4,30,10,C,2012-10-01,NA,NA
040048,"Mesa, City of",1991-10-01,1998-04-01,10,0,0,R,2012-10-01,NA,NA
040058,Mohave County,1995-10-01,2010-05-01,7,15,5,C,2012-10-01,NA,NA
040066,Navajo County,1992-10-01,2008-05-01,8,10,5,C,2012-10-01,NA,NA
040051,"Phoenix, City of",1992-10-01,2002-10-01,6,20,10,C,2012-10-01,NA,NA
040073,Pima County,1991-10-01,2007-05-01,5,25,10,C,2012-10-01,NA,NA
040098,"Prescott, City of",1991-10-01,2011-05-01,7,15,5,C,2012-10-01,NA,NA
040090,Santa Cruz County,2003-10-01,2008-05-01,7,15,5,C,2012-10-01,NA,NA
045012,"Scottsdale, City of",1991-10-01,2007-10-01,6,20,10,C,2012-10-01,NA,NA
040130,"Sedona, City of",1991-10-01,2011-05-01,8,10,5,C,2012-10-01,NA,NA
040069,"Show Low, City of",1991-10-01,2010-05-01,8,10,5,C,2012-10-01,NA,NA
040054,"Tempe, City of",1991-10-01,2012-05-01,7,15,5,C,2012-10-01,NA,NA
040076,"Tucson, City of",1991-10-01,2007-10-01,6,20,10,C,2012-10-01,NA,NA
040056,"Wickenburg, Town of",1992-10-01,2007-10-01,10,0,0,R,2012-10-01,NA,NA
040031,"Winkelman, Town of",1991-10-01,1995-10-01,10,0,0,R,2012-10-01,NA,NA
040093,Yavapai County,1991-10-01,2007-10-01,7,15,5,C,2012-10-01,NA,NA
