"Federal Emergency Management Agency",,,,,,,,,,,,,,,
"Community Status Book Report",,,,,,,,,,,,,,,
"Nation",,,,,,,,,,,,,,,
"Communities Participating in the National Flood Program",,,,,,,,,,,,,,,
"CID","Community Name",,"County",,"Init FHBM
Identified",,"Init FIRM
Identified",,"Curr Eff
Map Date",,"Reg-Emer Date",,,"Tribal",
,"** ALABAMA **",,,,,,,,,,,,,,
="010267B","ADAMSVILLE, CITY OF",,"JEFFERSON COUNTY",,,="01/17/75",,"10/10/80",,="03/21/19",,"10/10/80",,,"No"
="010504#","ADDISON, TOWN OF",,"WINSTON COUNTY",,,,,="08/18/09",,="09/16/11(M)",,="04/01/13",,,"No"
="010192#","ALABASTER, CITY OF",,"SHELBY COUNTY",,,="05/24/74",,="06/15/81",,="02/20/13",,="06/15/81",,,"No"
="010366D","ALBERTVILLE, CITY OF",,"MARSHALL COUNTY",,,"10/01/76",,="09/04/85",,="03/21/19(M)",,="09/04/85",,,"No"
="010210#","ALEXANDER CITY, CITY OF",,"TALLAPOOSA COUNTY",,,"11/08/74",,="09/27/85",,="07/18/11",,="09/27/85",,,"No"
="010180#","ALICEVILLE, CITY OF",,"PICKENS COUNTY",,,="04/11/75",,="07/17/78",,="09/17/10",,="07/17/78",,,"No"
="010078C","ALTOONA, TOWN OF",,"BLOUNT COUNTY/ETOWAH COUNTY",,,="05/17/74",,="03/14/80",,="03/21/19",,="03/14/80",,,"No"
="010331#","ANDALUSIA, CITY OF",,"COVINGTON COUNTY",,,="01/13/78",,"11/04/09",,"11/04/09(M)",,"11/04/09",,,"No"
="010407#","ANDERSON, TOWN OF",,"LAUDERDALE COUNTY",,,"11/24/78",,="03/02/81",,="09/11/09",,="09/07/00",,,"No"
="010020B","ANNISTON, CITY OF",,"CALHOUN COUNTY",,,"12/14/73",,="09/15/83",,="03/16/16",,="09/15/83",,,"No"
="010345#","ARAB, CITY OF",,"MARSHALL COUNTY",,,="07/09/76",,="08/01/87",,="09/16/11(M)",,="08/01/87",,,"No"
="010306C","ARDMORE, TOWN OF",,"LIMESTONE COUNTY",,,"12/17/76",,="04/15/86",,="08/16/18(M)",,="04/15/86",,,"No"
="010450B","ARGO, CITY OF",,"ST. CLAIR COUNTY/JEFFERSON COUNTY",,,="07/07/78",,="02/17/82",,="08/17/16",,="04/02/13",,,"No"
="010411B","ARITON, TOWN OF",,"DALE COUNTY",,,,,="08/16/07",,="05/02/16",,="01/30/08",,,"No"
="010099#","ASHFORD, CITY OF",,"HOUSTON COUNTY",,,"10/31/75",,="09/04/85",,="09/03/14",,="09/04/85",,,"No"
="010168#","ASHLAND, TOWN OF",,"CLAY COUNTY",,,,,="03/17/10",,="03/17/10(M)",,="03/17/10",,,"No"
="010186B","ASHVILLE, CITY OF",,"ST. CLAIR COUNTY",,,="06/21/74",,="04/17/87",,="08/17/16",,="04/17/87",,,"No"
="010146C","ATHENS, CITY OF",,"LIMESTONE COUNTY",,,="03/08/74",,="09/28/79",,="08/16/18",,="09/28/79",,,"No"
="010071C","ATMORE, CITY OF",,"ESCAMBIA COUNTY",,,="04/05/74",,="06/24/77",,="03/06/20(>)",,="06/24/77",,,"No"
="010079C","ATTALLA, CITY OF",,"ETOWAH COUNTY",,,"12/28/73",,"12/01/81",,="03/16/16",,"12/01/81",,,"No"
="010144#","AUBURN, CITY OF",,"LEE COUNTY",,,="06/07/74",,="09/16/81",,"11/02/11",,="09/16/81",,,"No"
="010314#","AUTAUGA COUNTY *",,"AUTAUGA COUNTY",,,="03/24/78",,"12/18/85",,="09/03/14",,"12/18/85",,,"No"
="010001#","AUTAUGAVILLE, TOWN OF",,"AUTAUGA COUNTY",,,="06/07/74",,"12/18/85",,="09/03/14",,="02/03/86",,,"No"
="010100#","AVON, TOWN OF",,"HOUSTON COUNTY",,,="09/20/74",,="09/01/86",,="09/03/14",,="09/01/86",,,"No"
="010242#","BABBIE, TOWN OF",,"COVINGTON COUNTY",,,="01/10/75",,"11/04/09",,"11/04/09(M)",,"11/17/14",,,"No"
="015000B","BALDWIN COUNTY*",,"BALDWIN COUNTY",,,,,="01/12/73",,="04/19/19",,="01/12/73",,,"No"
="010315#","BARBOUR COUNTY*",,"BARBOUR COUNTY",,,="04/28/78",,="01/01/87",,="08/18/09",,="01/01/87",,,"No"
="010004B","BAY MINETTE, CITY OF",,"BALDWIN COUNTY",,,"10/24/75",,"12/01/81",,="04/19/19",,"12/01/81",,,"No"
="015001#","BAYOU LA BATRE, CITY OF",,"MOBILE COUNTY",,,,,="03/17/72",,="03/17/10",,="03/17/72",,,"No"
="010134#","BEAVERTON, TOWN OF",,"LAMAR COUNTY",,,="09/20/74",,="05/03/10",,="05/03/10(M)",,="07/03/86",,,"No"
="010083#","BELK, TOWN OF",,"FAYETTE COUNTY",,,="09/13/74",,="06/04/10",,="06/04/10(M)",,="06/04/10",,,"No"
="015002#","BENTON, TOWN OF",,"LOWNDES COUNTY",,,="04/06/73",,="07/01/74",,="09/03/14",,="04/06/73",,,"No"
="010255#","BERRY, TOWN OF",,"FAYETTE COUNTY",,,"12/27/74",,="06/03/86",,="06/04/10(M)",,="06/03/86",,,"No"
